Skip to main content
DIGITAdmin Console
Management

Super Admin

ke

Phase 1

Tenant

Phase 2

Boundary

Phase 3

Common

Phase 4

Employee

Phase 1: Tenant & Branding Setup

Create tenant and configure branding assets

✓ Upload
2. Preview
3. Branding
Use Existing Tenant

These tenants are already configured under ke (created via deploy bootstrap, MCP, or a previous wizard run). Pick one to skip tenant creation and jump straight to Phase 2.

Code	Name	Description	Action
ke.tgt268130	Target Tenant 268130	—	Use this

ke.testcity001	My City Council	My City Council	Use this

ke.tgt826204	Target Tenant 826204	—	Use this

ke.tgt767825	Target Tenant 767825	—	Use this

ke.tgt669354	Target Tenant 669354	—	Use this

ke.tgt042651	Target Tenant 042651	—	Use this

ke.tgt044931	Target Tenant 044931	—	Use this

ke.tgt669982	Target Tenant 669982	—	Use this

ke.tgt715240	Target Tenant 715240	—	Use this

ke.tgt666587	Target Tenant 666587	—	Use this

ke.tgt798310	Target Tenant 798310	—	Use this

ke.tgt891340	Target Tenant 891340	—	Use this

ke.tgt476151	Target Tenant 476151	—	Use this

ke.tgt801114	Target Tenant 801114	—	Use this

ke.tgt329351	Target Tenant 329351	—	Use this

ke.tgt423485	Target Tenant 423485	—	Use this

ke.tgt557503	Target Tenant 557503	—	Use this

ke.tgt161671	Target Tenant 161671	—	Use this

ke.tgt759603	Target Tenant 759603	—	Use this

ke.tgt083168	Target Tenant 083168	—	Use this

ke.tgt844329	Target Tenant 844329	—	Use this

ke.tgt002421	Target Tenant 002421	—	Use this

ke.tgt353856	Target Tenant 353856	—	Use this

ke.tgt061543	Target Tenant 061543	—	Use this

ke.tgt462643	Target Tenant 462643	—	Use this

ke.tgt165988	Target Tenant 165988	—	Use this

ke.tgt119233	Target Tenant 119233	—	Use this

ke.tgt087102	Target Tenant 087102	—	Use this

ke.tgt784391	Target Tenant 784391	—	Use this

ke.tgt330821	Target Tenant 330821	—	Use this

ke.tgt939394	Target Tenant 939394	—	Use this

ke.tgt686485	Target Tenant 686485	—	Use this

ke.tgt710508	Target Tenant 710508	—	Use this

ke.tgt427793	Target Tenant 427793	—	Use this

ke.tgt105371	Target Tenant 105371	—	Use this

ke.tgt189437	Target Tenant 189437	—	Use this

ke.tgt747292	Target Tenant 747292	—	Use this

ke.tgt168584	Target Tenant 168584	—	Use this

ke.tgt412591	Target Tenant 412591	—	Use this

ke.tgt679241	Target Tenant 679241	—	Use this

ke.tgt004349	Target Tenant 004349	—	Use this

ke.tgt669043	Target Tenant 669043	—	Use this

ke.tgt607037	Target Tenant 607037	—	Use this

ke.tgt203964	Target Tenant 203964	—	Use this

